id,year,month,day,hour,minute,second,sensor1
0,2016,6,7,2,46,50,80.0
1,2016,6,7,2,46,50,821.0
2,2016,6,7,2,46,50,820.0
3,2016,6,7,2,46,50,820.0
4,2016,6,7,2,46,50,821.0
5,2016,6,7,2,46,50,822.0
6,2016,6,7,2,46,50,822.0
7,2016,6,7,2,46,50,823.0
8,2016,6,7,2,46,50,823.0
9,2016,6,7,2,46,50,823.0
10,2016,6,7,2,46,50,822.0
11,2016,6,7,2,46,50,821.0
12,2016,6,7,2,46,50,821.0
13,2016,6,7,2,46,50,820.0
14,2016,6,7,2,46,50,820.0
15,2016,6,7,2,46,50,820.0
16,2016,6,7,2,46,50,820.0
17,2016,6,7,2,46,50,821.0
18,2016,6,7,2,46,50,820.0
19,2016,6,7,2,46,50,820.0
20,2016,6,7,2,46,50,821.0
21,2016,6,7,2,46,50,822.0
22,2016,6,7,2,46,50,822.0
23,2016,6,7,2,46,50,823.0
24,2016,6,7,2,46,50,823.0
25,2016,6,7,2,46,50,823.0
26,2016,6,7,2,46,50,822.0
27,2016,6,7,2,46,50,821.0
28,2016,6,7,2,46,50,821.0
29,2016,6,7,2,46,50,820.0
30,2016,6,7,2,46,50,820.0
31,2016,6,7,2,46,50,820.0
32,2016,6,7,2,46,50,820.0
33,2016,6,7,2,46,50,821.0
34,2016,6,7,2,46,50,822.0
35,2016,6,7,2,46,50,822.0
36,2016,6,7,2,46,51,823.0
37,2016,6,7,2,46,51,823.0
38,2016,6,7,2,46,51,822.0
39,2016,6,7,2,46,52,822.0
40,2016,6,7,2,46,52,822.0
41,2016,6,7,2,46,52,821.0
42,2016,6,7,2,46,53,820.0
43,2016,6,7,2,46,53,820.0
44,2016,6,7,2,46,53,820.0
45,2016,6,7,2,46,53,821.0
46,2016,6,7,2,46,54,821.0
47,2016,6,7,2,46,54,822.0
48,2016,6,7,2,46,54,823.0
49,2016,6,7,2,46,55,823.0
50,2016,6,7,2,46,55,823.0
51,2016,6,7,2,46,55,823.0
52,2016,6,7,2,46,56,822.0
53,2016,6,7,2,46,56,822.0
54,2016,6,7,2,46,56,821.0
55,2016,6,7,2,46,56,820.0
56,2016,6,7,2,46,57,819.0
57,2016,6,7,2,46,57,820.0
58,2016,6,7,2,46,57,821.0
59,2016,6,7,2,46,58,822.0
60,2016,6,7,2,46,58,822.0
61,2016,6,7,2,46,58,823.0
62,2016,6,7,2,46,59,823.0
63,2016,6,7,2,46,59,823.0
64,2016,6,7,2,46,59,822.0
65,2016,6,7,2,46,59,822.0
66,2016,6,7,2,47,0,821.0
67,2016,6,7,2,47,0,821.0
68,2016,6,7,2,47,0,820.0
69,2016,6,7,2,47,1,820.0
